InputSize,InsertTime,SearchTime,DeleteTime
1,0.000000508572,0.000000082857,0.000000608571
5,0.000001420000,0.000000151428,0.000002191429
10,0.000001834286,0.000000242857,0.000001425714
25,0.000005471429,0.000000525714,0.000002708572
50,0.000008220000,0.000000960000,0.000004888572
100,0.000021942857,0.000002022857,0.000009328571
250,0.000047525714,0.000006497143,0.000026397143
1000,0.000220165714,0.000034780000,0.000102922857
2500,0.000559922857,0.000102885714,0.000301177143
5000,0.001177002857,0.000251082857,0.000677208571
7500,0.001681580000,0.000436151429,0.001088294286
10000,0.002755688572,0.000837691429,0.001838022857
25000,0.007007511429,0.002576065714,0.005136768571
50000,0.015709474286,0.006469002857,0.012612617143
75000,0.024148825714,0.010074011428,0.015965114286
100000,0.031761042857,0.015164091428,0.023175500000
250000,0.089280422857,0.050162560000,0.043297282857
500000,0.194323482857,0.096586274286,0.062334262857
750000,0.310182777143,0.153580542857,0.067391405714
1000000,0.397765680000,0.201959885714,0.066790337143
2500000,0.936376302857,0.517418934286,0.068701185714
5000000,1.574787611428,0.836579668571,0.061752348571
10000000,2.303547888571,1.269812662857,0.052891317143
25000000,5.572782797143,3.418411285714,0.074014908571
50000000,9.954587805714,5.624267077143,0.106793571429
100000000,20.521521454286,11.835877648571,0.181947382857
